request,Filing_Jurisdiction:token,Filing_Jurisdiction:id,Filing_Jurisdiction,Filing_Year:token,Filing_Year:id,Filing_Year,Spender_Industry:token,Spender_Industry:id,Spender_Industry,Spender_Sector:token,Spender_Sector:id,Spender_Sector,#_of_Records,Total_$
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2015&lby-f-cci=65",lby-s,CA,CA,lby-y,2015,2015,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,1159,18079490.40
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2016&lby-f-cci=100",lby-s,CA,CA,lby-y,2016,2016,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,1227,18020444.45
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2015&lby-f-cci=100",lby-s,CA,CA,lby-y,2015,2015,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,953,16084042.22
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2014&lby-f-cci=100",lby-s,CA,CA,lby-y,2014,2014,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,980,15567187.33
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NY&lby-y=2018&lby-f-cci=66",lby-s,NY,NY,lby-y,2018,2018,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1876,15165854.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=FL&lby-y=2013&lby-f-cci=66",lby-s,FL,FL,lby-y,2013,2013,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1038,13914000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2017&lby-f-cci=100",lby-s,CA,CA,lby-y,2017,2017,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,1061,13826566.84
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2018&lby-f-cci=100",lby-s,CA,CA,lby-y,2018,2018,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,996,13552599.97
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2013&lby-f-cci=100",lby-s,CA,CA,lby-y,2013,2013,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,387,13411244.82
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NY&lby-y=2018&lby-f-cci=99",lby-s,NY,NY,lby-y,2018,2018,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,1502,13093909.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2015&lby-f-cci=66",lby-s,CA,CA,lby-y,2015,2015,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,489,12761893.61
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NY&lby-y=2016&lby-f-cci=66",lby-s,NY,NY,lby-y,2016,2016,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1705,12712345.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NY&lby-y=2015&lby-f-cci=66",lby-s,NY,NY,lby-y,2015,2015,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1655,12238533.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NY&lby-y=2017&lby-f-cci=66",lby-s,NY,NY,lby-y,2017,2017,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1692,12139753.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=FL&lby-y=2014&lby-f-cci=66",lby-s,FL,FL,lby-y,2014,2014,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1021,11655000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=FL&lby-y=2016&lby-f-cci=66",lby-s,FL,FL,lby-y,2016,2016,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1023,11411000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=FL&lby-y=2017&lby-f-cci=66",lby-s,FL,FL,lby-y,2017,2017,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1020,11053000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=FL&lby-y=2015&lby-f-cci=66",lby-s,FL,FL,lby-y,2015,2015,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1043,10937000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=FL&lby-y=2018&lby-f-cci=66",lby-s,FL,FL,lby-y,2018,2018,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,958,10805000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NY&lby-y=2014&lby-f-cci=66",lby-s,NY,NY,lby-y,2014,2014,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,954,10762764.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CA&lby-y=2013&lby-f-cci=65",lby-s,CA,CA,lby-y,2013,2013,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,418,10703763.26
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NY&lby-y=2013&lby-f-cci=66",lby-s,NY,NY,lby-y,2013,2013,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,916,10547053.00
